Number,Season2,Rank,Tag,Most Recent List,First List,Appearances,Images
01,November 15th 2010,1,Shaeden,Spring 2016,November 15th 2010,10,
01,November 15th 2010,2,Velynn,January 13th 2015,November 15th 2010,9,
01,November 15th 2010,3,Shady,Spring 2016,November 15th 2010,12,
01,November 15th 2010,4,Moose,January 13th 2015,November 15th 2010,9,
01,November 15th 2010,5,Duck,Winter-Spring 2019,November 15th 2010,21,
01,November 15th 2010,6,Bigy,Winter 2015,November 15th 2010,12,
01,November 15th 2010,7,Lain,Summer 2017,November 15th 2010,9,
01,November 15th 2010,8,Kail,April 22nd 2012,November 15th 2010,4,
01,November 15th 2010,9,Juggleguy,Spring 2018,November 15th 2010,17,
01,November 15th 2010,10,Toadster,January 13th 2015,November 15th 2010,6,
02,July 25th 2011,1,Velynn,January 13th 2015,November 15th 2010,9,
02,July 25th 2011,2,Shady,Spring 2016,November 15th 2010,12,
02,July 25th 2011,3,Duck,Winter-Spring 2019,November 15th 2010,21,
02,July 25th 2011,4,Moose,January 13th 2015,November 15th 2010,9,
02,July 25th 2011,5,Mikey Lenetia,September 3rd 2014,July 25th 2011,7,
02,July 25th 2011,6,Juggleguy,Spring 2018,November 15th 2010,17,
02,July 25th 2011,7,SCOTU,April 22nd 2012,July 25th 2011,3,
02,July 25th 2011,8,Lain,Summer 2017,November 15th 2010,9,
02,July 25th 2011,9,Kalamazhu,April 30th 2015,July 25th 2011,9,
02,July 25th 2011,10,Kail,April 22nd 2012,November 15th 2010,4,
02,July 25th 2011,HM,Prince Abu,Spring 2016,July 25th 2011,3,
02,July 25th 2011,HM,Bower,July 25th 2011,July 25th 2011,1,
02,July 25th 2011,HM,SlayerTokey,Februrary 22nd 2013,July 25th 2011,4,
02,July 25th 2011,HM,Toadster,January 13th 2015,November 15th 2010,6,
02,July 25th 2011,HM,Beach (Tremor / SonuvaBeach),Spring 2016,July 25th 2011,12,
02,July 25th 2011,IM,Anther,Summer 2024,July 25th 2011,20,
02,July 25th 2011,IM,Bigy,Winter 2015,November 15th 2010,12,
02,July 25th 2011,IM,Botulismnator,November 15th 2011,July 25th 2011,2,
02,July 25th 2011,IM,Dope,January 8th 2014,July 25th 2011,5,
02,July 25th 2011,IM,Shaeden,Spring 2016,November 15th 2010,10,
03,November 15th 2011,1,Velynn,January 13th 2015,November 15th 2010,9,
03,November 15th 2011,2,Duck,Winter-Spring 2019,November 15th 2010,21,
03,November 15th 2011,3,Shady,Spring 2016,November 15th 2010,12,
03,November 15th 2011,4,Moose,January 13th 2015,November 15th 2010,9,
03,November 15th 2011,5,Shaeden,Spring 2016,November 15th 2010,10,
03,November 15th 2011,6,Mikey Lenetia,September 3rd 2014,July 25th 2011,7,
03,November 15th 2011,7,Juggleguy,Spring 2018,November 15th 2010,17,
03,November 15th 2011,8,Kalamazhu,April 30th 2015,July 25th 2011,9,
03,November 15th 2011,9,SlayerTokey,Februrary 22nd 2013,July 25th 2011,4,
03,November 15th 2011,10,Kail,April 22nd 2012,November 15th 2010,4,
03,November 15th 2011,HM,Brainjack,November 15th 2011,November 15th 2011,1,
03,November 15th 2011,HM,Lain,Summer 2017,November 15th 2010,9,
03,November 15th 2011,HM,Toadster,January 13th 2015,November 15th 2010,6,
03,November 15th 2011,HM,Beach (Tremor / SonuvaBeach),Spring 2016,July 25th 2011,12,
03,November 15th 2011,HM,RyeJew,January 13th 2015,November 15th 2011,5,
03,November 15th 2011,IM,Anther,Summer 2024,July 25th 2011,20,
03,November 15th 2011,IM,Bigy,Winter 2015,November 15th 2010,12,
03,November 15th 2011,IM,Botulismnator,November 15th 2011,July 25th 2011,2,
03,November 15th 2011,IM,Dope,January 8th 2014,July 25th 2011,5,
03,November 15th 2011,IM,SCOTU,April 22nd 2012,July 25th 2011,3,
04,April 22nd 2012,1,Moose,January 13th 2015,November 15th 2010,9,
04,April 22nd 2012,2,Duck,Winter-Spring 2019,November 15th 2010,21,
04,April 22nd 2012,3,Shady,Spring 2016,November 15th 2010,12,
04,April 22nd 2012,4,Shaeden,Spring 2016,November 15th 2010,10,
04,April 22nd 2012,5,Kalamazhu,April 30th 2015,July 25th 2011,9,
04,April 22nd 2012,6,Velynn,January 13th 2015,November 15th 2010,9,
04,April 22nd 2012,7,Dope,January 8th 2014,July 25th 2011,5,
04,April 22nd 2012,8,Vaccine (HIV+),Winter 2015,April 22nd 2012,9,
04,April 22nd 2012,9,Juggleguy,Spring 2018,November 15th 2010,17,
04,April 22nd 2012,10,SlayerTokey,Februrary 22nd 2013,July 25th 2011,4,
04,April 22nd 2012,HM,1der,April 22nd 2012,April 22nd 2012,1,
04,April 22nd 2012,HM,Blake,Winter 2015,April 22nd 2012,9,
04,April 22nd 2012,HM,Lain,Summer 2017,November 15th 2010,9,
04,April 22nd 2012,HM,Toadster,January 13th 2015,November 15th 2010,6,
04,April 22nd 2012,HM,Beach (Tremor / SonuvaBeach),Spring 2016,July 25th 2011,12,
04,April 22nd 2012,IM,Anther,Summer 2024,July 25th 2011,20,
04,April 22nd 2012,IM,Bigy,Winter 2015,November 15th 2010,12,
04,April 22nd 2012,IM,Kail,April 22nd 2012,November 15th 2010,4,
04,April 22nd 2012,IM,Mikey Lenetia,September 3rd 2014,July 25th 2011,7,
04,April 22nd 2012,IM,SCOTU,April 22nd 2012,July 25th 2011,3,
05,Februrary 22nd 2013,1,Duck,Winter-Spring 2019,November 15th 2010,21,
05,Februrary 22nd 2013,2,Moose,January 13th 2015,November 15th 2010,9,
05,Februrary 22nd 2013,3,Shaeden,Spring 2016,November 15th 2010,10,
05,Februrary 22nd 2013,4,Kalamazhu,April 30th 2015,July 25th 2011,9,
05,Februrary 22nd 2013,5,Shady,Spring 2016,November 15th 2010,12,
05,Februrary 22nd 2013,6,Vaccine (HIV+),Winter 2015,April 22nd 2012,9,
05,Februrary 22nd 2013,7,Dope,January 8th 2014,July 25th 2011,5,
05,Februrary 22nd 2013,8,Juggleguy,Spring 2018,November 15th 2010,17,
05,Februrary 22nd 2013,9,Beach (Tremor / SonuvaBeach),Spring 2016,July 25th 2011,12,
05,Februrary 22nd 2013,10,RyeJew,January 13th 2015,November 15th 2011,5,
05,Februrary 22nd 2013,HM,Blake,Winter 2015,April 22nd 2012,9,
05,Februrary 22nd 2013,HM,Dre,January 13th 2015,Februrary 22nd 2013,5,
05,Februrary 22nd 2013,HM,KJH,Summer 2024,Februrary 22nd 2013,24,
05,Februrary 22nd 2013,HM,Toadster,January 13th 2015,November 15th 2010,6,
05,Februrary 22nd 2013,HM,Zinoto,Februrary 22nd 2013,Februrary 22nd 2013,1,
05,Februrary 22nd 2013,IM,Anther,Summer 2024,July 25th 2011,20,
05,Februrary 22nd 2013,IM,Bigy,Winter 2015,November 15th 2010,12,
05,Februrary 22nd 2013,IM,Mikey Lenetia,September 3rd 2014,July 25th 2011,7,
05,Februrary 22nd 2013,IM,SlayerTokey,Februrary 22nd 2013,July 25th 2011,4,
05,Februrary 22nd 2013,IM,Velynn,January 13th 2015,November 15th 2010,9,
06,January 8th 2014,1,Duck,Winter-Spring 2019,November 15th 2010,21,
06,January 8th 2014,2,Kalamazhu,April 30th 2015,July 25th 2011,9,
06,January 8th 2014,3,Moose,January 13th 2015,November 15th 2010,9,
06,January 8th 2014,4,Vaccine (HIV+),Winter 2015,April 22nd 2012,9,
06,January 8th 2014,5,Shady,Spring 2016,November 15th 2010,12,
06,January 8th 2014,6,Shaeden,Spring 2016,November 15th 2010,10,
06,January 8th 2014,7,KJH,Summer 2024,Februrary 22nd 2013,24,
06,January 8th 2014,8,Juggleguy,Spring 2018,November 15th 2010,17,
06,January 8th 2014,9,Beach (Tremor / SonuvaBeach),Spring 2016,July 25th 2011,12,
06,January 8th 2014,10,Dre,January 13th 2015,Februrary 22nd 2013,5,
06,January 8th 2014,HM,Dope,January 8th 2014,July 25th 2011,5,
06,January 8th 2014,HM,Blake,Winter 2015,April 22nd 2012,9,
06,January 8th 2014,HM,Butch G,Fall 2015,January 8th 2014,2,
06,January 8th 2014,HM,Rh1thmz,January 8th 2014,January 8th 2014,1,
06,January 8th 2014,HM,RyeJew,January 13th 2015,November 15th 2011,5,
06,January 8th 2014,IM,Anther,Summer 2024,July 25th 2011,20,
06,January 8th 2014,IM,Bigy,Winter 2015,November 15th 2010,12,
06,January 8th 2014,IM,Lain,Summer 2017,November 15th 2010,9,
06,January 8th 2014,IM,Mikey Lenetia,September 3rd 2014,July 25th 2011,7,
06,January 8th 2014,IM,Velynn,January 13th 2015,November 15th 2010,9,
07,April 14th 2014,1,Duck,Winter-Spring 2019,November 15th 2010,21,
07,April 14th 2014,2,Vaccine (HIV+),Winter 2015,April 22nd 2012,9,
07,April 14th 2014,3,Kalamazhu,April 30th 2015,July 25th 2011,9,
